text,bad/good
Revive panel formed in 2007 to prevent child labour: Bombay HC to govt,0
Ceremonial border meeting held on the Chinese side in Ladakh,0
Uttar Pradesh legislative council chairman asks state government to conduct CBI probe in two encounter cases,0
Can roll out NHPS in two months if we get funds: UP Health Minister,0
Sunjuwan attack: Tributes paid to slain Army personnel in Jammu,0
Congress blames NDA flip-flop on Pakistan for Kashmir problem,0
Sanitary pad dispensing machines put up inside five govt schools in Jalandhar,0
Mamata Banerjee says BJP trying to bring outsiders in four districts,0
"Cochin Shipyard fire: Blast onboard ONGC vessel kills five, inquiry commission to probe accident",0
I have seen the discharge orders… HC should examine these orders: Justice (retd) Abhay M Thipsay on Sohrabuddin case,0
Sohrabuddin case: The list of 15 discharged so far,0
"Delhi-Pune, Delhi-Lucknow are now in top ten air routes in the country",0
Bofors hearing adjourned in Supreme Court as judge Khanwilkar recuses,0
"Prasar Bharati shortlists journalists Siddharth Zarabi, Abhijit Majumder for top edit jobs",0
"Amit Shah rally: Such rallies don’t benefit nation, says Sharad Yadav",0
"IG to father of three, all want to adopt abandoned 6-month-old baby",0
"Dera violence: Police intercepted calls, knew violence would break out if Ram Rahim convicted",0
BJP’s Kurukshetra MP not to attend Amit Shah rally,0
On Modi government drawing board: Tool to hardsell soft power in diplomacy,0
Supreme Court no to Centre plea to transfer case to coal bench,0
"Amit Shah Haryana rally: Over one lakh bikers registered, says BJP",0
"Sohrabuddin case: No witness has spoken about threat, sought protection, CBI tells Bombay HC",0
"Srinagar: 30-hour encounter ends, two militants gunned down near CRPF camp",0
"Weeks after CPM said his days numbered, Youth Congress leader hacked to death in Kannur",0
"Binu Pappachan who eluded police for a week turns himself in, says he is not a big rowdy",0
Supreme Court suggests CCTVs in courts for security,0
Gujarat aims Oct 31 deadline for unveiling Statue of Unity,0
"Failure of justice system in Sohrabuddin encounter case, Bombay High Court should relook: Ex-judge Abhay M Thipsay",0
Charges of graft  in MGNREGA in Tripura: Govt to Supreme Court,0
"Taj Mahal to cost more: Ticket rates up, mausoleum entry to cost; visits capped at three hours",0
Farm crisis: 40 farmer outfits plan protest against government in Barnala on February 16,0
"Sohrabuddin case: All accused should be present in court from today, says CBI judge",0
"After Mehbooba Mufti’s appeal for talks with Pakistan, ally BJP says time not right",0
"Maharashtra govt paid higher price for school books than market rate, says Congress",0
"State to buy 1.5 lakh books on PM Modi for schools, Congress alleges ‘agenda’",0
Defence Ministry fast-tracks purchase of Light Machine Guns and sniper rifles for soldiers,0
Gorakhpur deaths: Allahabad High Court rejects oxygen supplier’s bail plea,0
"Srinagar militants without medicines, food, officers say ‘slightly odd’",0
"Three years of AAP: Number of mohalla clinics will be over 900 in coming months, says Kejriwal",0
Allahabad law student lynching case: Main accused arrested from Sultanpur,0
"Live storage of Narmada dam reaches 111.37 metres, to last till February end",0
"Congress will simplify GST, cut confusion if voted to power nationally, says Rahul Gandhi",0
No riots in Uttar Pradesh in last one year: DGP,0
India’s $230 million plan to stop crop burning that pollutes Delhi falls short of estimates: report,0
"Sexual assault on children corrodes their smile, memories, says Court",0
Two firms move High Court to get coal cargo moving at Goa port,0
"Iran President Rouhani to visit India on Feb 15, to discuss bilateral relations with PM Modi: MEA",0
"Chilly weather returns to Punjab, Adampur records minimum temperature of 5.3 degrees Celsius",0
"Ram mandir yatra begins; VHP, BJP leaders attend",0
TDP MLA sentenced to six months jail in assault case,0
Case against internet sensation Priya Prakash Varrier’s song for hurting religious sentiments,0
"Campaign for minorities’ welfare: One lakh signatures collected, civil rights body to meet CM Rupani today",0
Government nod to long-term visas for Afghan minorities seeking refuge,0
"CPM draft: BJP main threat, but no tie-up with Congress",0
"With Aadhaar Act, consent is illusory: Kapil Sibal in Supreme Court",0
"Sunjuwan attack: ‘Lost both son, father… God knows what will happen to this family’",0
Kannur Congress chief begins fast over murder of youth wing leader,0
"Dry, cold weather in J&K; Srinagar-Jammu highway remains shut",0
Row over Rs 425-cr road project: CM Fadnavis summons BJP leaders from Pimpri,0
"HPCA land allotment case: Virbhadra Singh terms Himachal govt decision to withdraw cases as ‘premature, hasty’",0
Coimbatore: Leopard which killed boy trapped,0
Bombay HC raps traffic cops for chatting on cell phone while on duty,0
Airlines liable to pay passengers for denying boarding: DGCA to Delhi High Court,0
"PM Modi’s ‘directionless’ policies reason for rising terror, ceasefire cases: Congress",0
Congress distances itself from Mani Shankar Aiyar’s ‘Pakistan love’ remark,0
"Kamala Mills Fire: Government also responsible for compliance of hotel norms, says Bombay High Court",0
Puducherry govt to promote English medium education in villages: CM Narayanasamy,0
India assures Iraq of commitment to rebuilding process,0
Alagiri moves Madras High Court against rent hike for corporation shops,0
Jiah Khan suicide case: Trial starts in Mumbai court,0
Delhi Court acquits man in rape case,0
Supreme Court denies relief to suspended senior IT official in DA case,0
"India wants to be powerful for welfare of all, not to intimidate others: Rajnath Singh",0
Tripura remains a backward state under Left rule: Chavan,0
Calcutta HC asks police not to arrest Mukul Roy till March 31,0
Delhi HC quashes government’s decision to disempanel ex-army man from re-employment scheme,0
Two labourers die of asphyxiation while cleaning tank,0
Jai Ram Thakur committed to act on ‘chargesheet’ against previous Congress govt in Himachal: BJP,0
"Delay in afforestation act rules threatens tribals, forest dwellers, says Jairam Ramesh",0
"How can copyright exist on an unpublished biography, Delhi HC asks martyr’s family",0
CPI(M) expresses concern over VHP’s ‘Ram Raj Rath Yatra’,0
"Top Bulletin: Asaduddin Owaisi’s ‘Muslim soldiers’ remark, Mani Shankar Aiyar’s ‘Pakistan love’ remark and many more",0
"After Owaisi’s ‘Muslim soldiers’ remark, Army says ‘it does not communalise martyrs’",0
No GST on food served by hospitals to in-patients,0
TDP ministers may resign if Centre does not heed Andhra’s demands,0
UK court allows three-fold increase in Vijay Mallya’s weekly allowance,0
"Now, slain Youth Congress leader’s voice message confirms he was being stalked",0
V K Singh calls on Mozambique President Filipe Nyusi; holds bilateral talks,0
"Misuse of social media a ‘time bomb’ in Jammu & Kashmir, says Army commander",0
"Also accused in UP serial blasts, Ariz to be interrogated by anti-terror squad",0
"Bengal: Hindu outfit calls for ‘ghar wapsi’, shows ‘reconverted’ Muslim family",0
UP CM Yogi Adityanath announces Rs 50 crore relief for hailstorm-hit farmers of 15 districts,0
"After 2008 Batla House encounter, Ariz Khan fled to Nepal, taught at schools",0
Maharashtra: Over 500 birds killed in hailstorm,0
Karnataka: JDS considers alliance with Left parties,0
Punjab: NIA arrests weapon supplier in RSS leaders’ murder,0
Agriculture income support: Telangana breaks new ground in farm subsidy,0
J-K: Pakistan violates LoC ceasefire in Nowshera,0
"In Bihar, slain CRPF jawan’s family turn down cheque of Rs 5 lakh",0
Sohrabuddin case: 45th witness deposes on mud sample collection,0
Jammu army camp attack ‘frustrated’ attempt by Pakistan: Army general,0
"CM Manohar Lal Khattar rides bike, reviews preparations ahead of Amit Shah’s Jind rally",0
"Centre set to get four new ASGs, triple talaq advocate under consideration",0
Pro-active strategy of Army to continue in J-K: Northern Command chief,0
Rahul Gandhi’s Karnataka visit ‘good entertainment’: Anant Kumar Hegde,0
Married woman ‘sacrifices’ tongue to Lord Shiva in Chhattisgarh temple,0
Frontier Gandhi’s granddaughter urges Centre to grant citizenship to Pathans,0
No tribal should be harassed: Jammu & Kashmir CM Mehbooba Mufti to officials,0
NIA arrests man from Uttar Pradesh in RSS leader killing case,0
Gulberg case: Govt denies nod to SIT to file appeal in Gujarat High Court,0
"Youth Congress leader hacked in Kerala: What crime did my son commit to die with 37 wounds on his legs, asks father",0
Hailstorm in Maharashtra: Govt announces Rs 200 crore relief for affected farmers,0
"Lt General D Anbu: ‘More youths taking up arms, matter of concern’",0
"Pune woman loses son to cancer, his twins are born to a surrogate mother",0
Maharashtra: Hailstorm hits crop on over 1.8 lakh hectares,0
"Sohrabuddin case: Discharged officer played same role as juniors on trial, says Rubabuddin’s lawyer",0
"Chhattisgarh: Maoist-hit areas don’t have toilets, but get the ODF tag",0
Maharashtra: Over 500 birds killed in hailstorm,0
"Maharashtra: Govt official says minister threatened him in public, puts in his papers",0
Kasganj violence: Probe deadline extended as none come with proof by last date,0
Minimum Support Prices: When politics beckons,0
"Mounting backlogs, delay in annual reports: RTI gasps for breath in Maharashtra",0
Maharashtra govt plans to set up 11 special courts in districts with over 1000 pending cases,0
"No govt role in temple yatra, Ayodhya talks: Keshav Prasad Maurya",0
PM panel chief Bibek Debroy red-flags Indian Railways electrification plan: Rethink,0
"Now, smart museums to give ‘virtual’ tours and 3D view of rare artifacts",0
"Amit Shah’s Jind rally today, security in place",0
Shiv Sena flays Vinod Tawde for ‘teaching sex education to Class 1 students’,0
"Like my father, says woman being gifted kidney by released convict",0
Sustainable Agriculture: Punjab has a new plan to move farmers away from water-guzzling paddy,0
"Balancing act: Month after Israel PM Netanhyahu, Iran President Hassan Rouhani arrives today",0
"‘Allocate more funds for food security, education, agriculture’",0
"From today, ‘no Narmada water to four Gujarat districts’",0
"Education minister defends purchases: Colour printing, quality paper reasons for more expensive books, says Vinod Tawde",0
"‘Trafficked’ from Ranchi, girls found in Haryana: Police, Ambala child panel face flak",0
"PNB fraud case: ED conducts raid, bank assures action; BJP fumes as Congress calls Nirav ‘Chota Modi’",0
Police encounters won’t stop in Uttar Pradesh: Yogi Adityanath,0
Army officer posted in Jabalpur detained by Military Intelligence,0
All electric cars by 2030? Nitin Gadkari inaugurates EV charging points at Niti Aayog,0
"Corruption-free Haryana under Khattar, Congress falied to deliver: Amit Shah at Jind bike rally",0
Gas disaster survivors to campaign against BJP in Madhya Pradesh bypolls,0
"IAF chopper crashes in Assam, two pilots killed",0
SC gives Punjab and Haryana High Court five months to dispose of appeal in gangrape case,0
Valentine’s Day horror: 22-year-old hacked to death by stalker released from jail 2 days ago,0
Visually-challenged duo among 13 sent to jail for bid to convert tribals,0
Amit Shah at Jind bike rally: ‘This (Haryana) is the state whose Congress chief minister went to jail’,0
"Bengaluru rural: At least three killed in building collapse, many feared trapped",0
"Nirav Modi case: Finance Ministry monitoring situation, guilty will not be spared, says PNB MD Sunil Mehta",0
"K P Sharma Oli gets second run in office, appointed Nepal’s 41st Prime Minister",0
"Top Bulletin: Congress accuses Modi govt on PNB fraud case, PM Modi targets Congress for corruption and many more",0
Counterfeit currency racket busted in Vadodara,0
"SC raps Madhya Pradesh govt: You value a rape at Rs 6,500. Are you doing charity?",0
Iran President Hassan Rouhani arrives in Hyderabad on three-day India visit,0
"PNB fraud case: Congress accuses Modi govt of letting businessmen escape with public money, BJP hits back",0
Bihar: Two suspected dacoits injured in blast in Ara town,0
J-K: Army foils infiltraion bid along LoC in Mendhar,0
Andhara Pradesh warns local firms over spread of unauthorised Monsanto GM cotton,0
Promotion for constable who foiled attack on CRPF’s Karan Nagar camp in Srinagar,0
INX media money laundering case: Karti Chidambaram appears before ED,0
Kerala Catholic priest booked for allegedly raping British-Bangladeshi woman,0
Madras High Court modifies prison term in corruption case,0
Kerala CM attacks BJP and its alliance in Tripura,0
Policy to scrap 15-year-old vehicles almost finalised: Nitin Gadkari,0
Delhi High Court asks for plan to bring down monkey and dog numbers in city,0
"Chabahar, Farzad-B gas field, security on Indo-Iran talks agenda",0
T T V Dhinakaran gives three names & symbol to Delhi High Court for his faction,0
"Nirav Modi has clear access to PM, alleges AAP",0
SC likely to pronounce Cauvery verdict tomorrow,0
"PNB fraud case: Diamond, gold jewellery worth Rs 5100 crore seized in ED raids at Nirav Modi’s premises",0
"Kerala: CPM man, five others held for assault on pregnant woman",0
"Kerala CM Pinarayi Vijayan bats for Priya Prakash song, says intolerance will not be accepted",0
"BJP rally: Police briefly detains Haryana Congress chief, several party workers",0
"Woman given acid in place of water at private hospital in Bihar, dies",0
Army launches inquiry against Lt Colonel in MP for suspected leak of classified info,0
Vice President M Venkaiah Naidu hits out at those suggesting talks with Pakistan,0
Gujarat: Dalit activist sets himself on fire over delay in land allotment,0
"Kerala woman allegedly assaulted by CPI(M) leader, forced to abort fetus",0
Four held with fake currency notes,0
"Terrorists open fire at CRPF camp in Awantipora, security forces retaliate",0
PM Modi’s brother says many not getting ration in Gujarat due to glitches in Aadhaar-based verification system,0
PNB fraud case: Axis Bank says ‘sold down’ LoU transactions,0
"Lawyers profession reached to ‘most worst condition’, says Madras High Court judge",0
Can’t talk to countries who have trained guns at us: Vice President Venkaiah Naidu,0
When ‘Padayappa’ the wild elephant disrupted a football match in Munnar,0
"O P Jindal University gangrape: Decide on appeals in five months, Supreme Court tells High Court",0
Hyderabad Mecca Masjid blast case: Shrikant Purohit declared hostile witness,0
"In PNB fraud case, BJP and Congress blame each other: This happened under your watch",0
National Health Protection Scheme rollout: Bengal officials attend workshop for states,0
"Sohrabuddin case: Three more witnesses turn hostile, say didn’t know what they signed",0
Sohrabuddin case: ‘Not enough evidence of meeting of minds between Dinesh and co-accused’,0
"Day after complaint ‘Wink song’ lyricist, singer firm: No insult to Prophet",0
"Bihar prohibition law: Police not applying mind, causing difficulty to citizens, says Patna High Court",0
"Devendra Fadnavis and Uddhav Thackeray meet, ‘talk alliance’",0
"Maharashtra: Ahead of global investor summit, fiscal managers sound caution",0
Prasar Bharati pushes back as it blocks I&B proposals on hiring,0
Magnetic Maharashtra: State govt eyes investments worth Rs 10 lakh crore,0
"Uddhav Thackeray meets Devendra Fadnavis, airs opposition to refinery",0
Mamata Banerjee demands time-bound probe into PNB fraud,0
"Hindu outfit calls for ‘ghar wapsi’: Held for attacking scribes, four in police custody till tomorrow",0
Pune techie murder case: Supreme Court pulls up Bombay HC over religion remark,0
Army gives commanders on LoC nod to hit back against Pakistani action,0
Migrant worker jailed in Azerbaijan: Mother writes to Sushma Swaraj seeking help for release,0
"PNB fraud expands: Rs 3000 crore more from 17 banks, money laundering evidence",0
"Magnetic Maharashtra: Tribal dept to debut at conclave, roll out Adopt a School initiative",0
Priest held for ‘molesting’ three boys in Surat,0
Delhi and Maldives break the ice first time in latest chill,0
Moral duty of a real journalist is to cover govt development activity: NIA,0
Witness in Prajapati encounter case seeks protection,0
"PNB fraud: In December, Nirav Modi’s firm Firestar International was moving to go public, raise funds",0
"Cauvery water verdict LIVE Updates: Tamil Nadu has been cheated, urge Dinakaran to call all-party meet with farmers, says MK Stalin",0
"RSS chief Mohan Bhagwat in Varanasi to recruit, speak ideology",0
"No corruption in Khattar govt, Congress rule scam-ridden: Amit Shah",0
INX Media case: ED conducts fresh raids in Chennai,0
Woman who married twice posing as man held in dowry case in Uttarakhand,0
Waiting for Cauvery verdict: Security tightened in Chennai; buses to Karnataka halted,0
Uttar Pradesh budget 2018-19 LIVE updates: finance minister Rajesh Agarwal presents Yogi Adityanath govt’s budget in House,0
"Karnataka Budget 2018-19 Highlights: Agriculture, education given priority in CM  Siddaramaiah’s final budget",0
Iran President Hassan Rouhani arrives on 3-day trip to India,0
"MHA charts out course for law, police officers to tackle cybercrime better",0
Loneliness of the long denied artist,0
"After CPM’s no to Congress, CPI calls for unity of ‘secular, mass’ parties",0
"No need to telecast PM Modi’s speech today: Bengal govt to schools, colleges",0
"BJP eyes coastal region, Amit Shah to visit homes of Hindu ‘victims’ in Karnataka",0
SC push for electoral reforms: Candidates now have to declare source of income as well,0
"On average, a Dalit woman dies 14 years younger than one from upper caste: UN report",0
"Families of Dabholkar, Pansare seek STF to track absconding accused",0
"J-K: Encounter underway between security forces, militants in Baramulla; mobile services suspended",0
PM Narendra Modi: ‘Pariksha Par Charcha’ speech from New Delhi,0
"On Jyotiraditya Scindia turf, Madhya Pradesh byelection becomes battle of big guns",0
"SC verdict on Cauvery river water dispute: Police deployed across Chennai, Bengaluru to ensure law and order",0
Maharashtra govt forms sub-committee to finalise scheme to honour those imprisoned during Emergency,0
UP: Chaos in House after BJP MLA’s remarks against BSP supremo,0
"Odisha conjoined twins: Separated babies improving, may get discharge in March",0
"World Sustainable Development Summit 2018 LIVE UPDATES: Technology can help India develop sustainably, says PM Modi",0
NIA court grants seven day remand to five accused involved in escape of Naveed Jutt,0
Pariksha pe Charcha: Here’s what PM Modi said about his own preparation for 2019 elections,0
Virbhadra Singh PMLA case: Enforcement Directorate arrests businessman,0
"In Bengal, decomposed body of missing woman found stuffed in trolley bag",0
Centre has gone beyond its means to help Andhra: BJP ,0
Iranian President Hassan Rouhani visits Qutub Shahi tombs in Hyderabad,0
No reservation charts on trains from March 1,0
When an extra finger became a hurdle in Aadhaar enrolment,0
"Nirav Modi case: SEBI launches probe into trading, disclosure issues at PNB, Gitanjali Gems",0
"PNB fraud case: MEA suspends passports of Nirav Modi, Mehul Choksi for 4 weeks",0
"PNB fraud case Highlights: We are not aware about Nirav Modi’s location, says MEA",0
Reducing water to Tamil Nadu very disapointing: Rajinikanth on Cauvery verdict,0
People will take harsh decisions if they feel cheated: AP CM Chandrababu Naidu,0
Full text of Supreme Court verdict on Cauvery water dispute,0
"UP budget: Yogi Adityanath’s govt lays major focus on agriculture, infrastructure development",0
Cauvery water dispute: K’taka welcomes SC verdict as TN sees setback; Rajnikanth calls it ‘very disappointing’,0
"PNB fraud case: CBI lodges fresh FIR against Gitanjali Group, approaches Interpol ",0
"PNB fraud case: Why are Modis flying away after looting India, asks Congress",0
Chooral muriyal: Why ritual involving young boys at this Kerala temple is making news,0
"INX Media money laundering case: Karti Chidambaram’s CA arrested, remanded to five-day ED custody",0
"Ammonia in Yamuna water: NGT directs Delhi, Haryana to meet on Feb 20",0
"Depressed over not bearing son, woman kills self, three daughters in Karnataka",0
"Canadian PM Trudeau begins 7-day India tour tomorrow, unlikely to meet Amarinder",0
"India committed to protecting environment, says PM Modi",0
"Karnataka Budget 2018-19: Farm loan waiver, universal health coverage remain major highlights",0
"Predatory pricing in Telecom: Operators face a penalty of 50 lakh per circle, says Trai",0
Central schemes get boost in UP budget,0
Sunjuwan attack: Initial probe says JeM terrorists came from Pakistan seven months ago,0
"Air traffic registers 20 per cent rise in January, Raju says ‘lovely start’ to 2018",0
"Karnataka CM Siddaramaiah announces sops for farmers, students in poll year",0
"Govt nominee to Allahabad Bank board says Nirav Modi raised issue of excess credit in 2013, was ignored",0
"Farmers in debt kill self, big corporates flee abroad: Former HP CM Shanta Kumar",0
"Nirav effect: Fraud started in UPA regime, says Prakash Javadekar",0
"Stay away from elements indulging in terror activities, Army chief tells J&K youth",0
Nirav Modi case: Unpublished data shows India’s fraud problems extend far beyond PNB,0
"Justin Trudeau India visit: Raise Rohingya, pellet guns with Narendra Modi, Amnesty urges Canadian PM",0
Plea in SC against Tushar Mehta’s appointment as SPP in 2G case,0
Mein aapka dost hoon: PM Narendra Modi shares some pre-exam tips,0
"In letter to Arun Jaitley: Mamata Banerjee asks Centre to learn from Rs 11,000-crore PNB scam",0
"BJP corners Rameshwar Lal Dudi over Rs 3 crore betting video, he says it’s ‘fake’",0
"Punjab National Bank: Opposition, govt trade charges",0
Farmers denied loans while VIP bank customers are looting the country: Mamata Banerjee,0
"States voice concerns on lack of clarity, exclusion in NHPS",0
Bihar minister courts controversy: ‘Would my reaching jawan’s family have brought him back to life?’,0
"Valley students hear PM’s exam advice, say opportunities must be expanded",0
"PNB fraud row: MEA suspends passports of Nirav Modi, Mehul Choksi",0
Virbhadra Singh probe: ED arrests businessman in Delhi,0
"Cauvery verdict: Tamil parties express concern, farmer leaders hopeful",0
Madras HC allows Karti Chidambaram to go abroad against CBI objection,0
"Ahead of Congress’s plenary session, Rahul Gandhi forms Steering Committee",0
"Fraud effect: LIC, investor in PNB, Gitanjali, loses Rs 1400 crore in three days",0
"Cauvery water dispute: 50 km from Bengaluru, relief in Tamil Nadu town",0
BJP MLA Ashish Deshmukh seeks CM Fadnavis’ resignation over farmers’ problems,0
"Gujarat Dalit activist who immolated self dies, CM Vijay Rupani orders probe",0
Why SC verdict on Cauvery water may reopen awards in other river disputes,0
SC raises election disclosure bar: Candidates must now reveal their family’s source of income,0
"PNB 11,400-crore scam: CBI says most of Nirav Modi’s fraud LoUs issued or renewed in 2017-18",0
Maharashtra: Farm labourers donate Rs 1 lakh to CM’s Farmers’ Relief Fund,0
Contemporary designs: A case for building modern architecture on traditional foundation,0
Ashoka pillar: JNU professor Romila Thapar highlights history behind inscription,0
"Grant time to special envoy for talks, Maldives tells Delhi",0
"Fearing encounter, two alleged UP criminals carry placards with pledge not to commit crime",0
Youth leader hacked in Kerala: Congress mounts protest,0
"Sohrabuddin case: Did same policemen escort Prajapati earlier also, Bombay High Court asks CBI",0
"Supreme Court raises Karnataka’s Cauvery share, lets Tamil Nadu use groundwater",0
"After over 700 deaths last year, Maharashtra gets 1.25 lakh doses of H1N1 vaccine",0
"BJP deputy mayor’s Shivaji comment triggers violence in Ahmednagar, protests in Pune",0
Delhi confidential: Ease of release,0
"Demand for surrogate mothers persists, medical bodies call for liberal laws",0
"Sexual assault-murder of 8-year-old: Leaders from BJP, Congress rally behind accused, Kathua tense",0
"March 11 Lok Sabha bypolls: Congress announces faces for Gorakhpur, Phulpur seats",0
"Sohrabuddin case: Accused and his lawyer absent during recording of evidence, special court issues NBW",0
"Justin Trudeau to meet PM Modi on February 23, defence on agenda",0
‘Saubhagya’ scheme: 11.64 lakh state consumers to avail benefit,0
Bhupinder Singh Hooda to organise Rath Yatra in Palwal on February 25,0
"India-Iran joint statement Highlights: India Iran sign nine pacts, as President Rouhani meets PM Modi",0
"India-Iran ink nine pacts, PM Modi appreciates President Rouhani’s leadership in developing Chabahar",0
"Muslim girls from Bihar show willingness to study abroad, but want clarity on dressing system and security",0
"Arvinder Singh Lovely rejoins Congress, says he was ‘ideological misfit in BJP’",0
"Rajasthan: Six killed, five injured in gas cylinder blast at wedding ceremony",0
Global journalists body calls on NIA to free photojournalist Kamran Yusuf,0
CM Vijay Rupani inaugurates Air Odisha’s first flight under UDAN scheme,0
"Shutdown call by separatists affects normal life, restrictions imposed in Srinagar",0
"I will protect Bimal Gurung, won’t allow any agency to “eliminate” him, says Ahluwalia",0
Suspecting ‘fidelity’ man kills wife in Telangana,0
Madhya Pradesh police announce reward for untraceable Congress MLA,0
Always wanted to join the Army: Gen Bipin Rawat,0
Delhi HC rejects plea of firm linked to Robert Vadra against IT’s reassessment notice,0
"Religion is personal, a way of worship: Vice President Venkaiah Naidu",0
Cut in quantum of Cauvery water disappointing: Tamil Nadu CM Palaniswami ,0
I will protect GJM chief Bimal Gurung: SS Ahluwalia,0
Nirav Modi should be made RBI Governor to finish off the country: Shiv Sena,0
"‘Police se nahi, crime se darr lagta hai sahab,’ says UP police after ‘criminals’ surrender",0
"UNFPA India chief, two others accused of harassment",0
Manohar Parrikar under observation at Mumbai’s Lilawati hospital; condition fine,0
"Sex ratio at birth dips in 17 of 21 large states, Gujarat records 53 points fall",0
"Legal Weekly: Accused of rape, anticipatory bail granted to do community service; top judgments of the week",0
"Watch: Maneka Gandhi abuses officer, accused of corruption, in UP",0
Restrictions in Srinagar to prevent separatist-called protest,0
"PNB fraud: BJP alleges Abhishek Singhvi’s wife has shares in Nirav Modi’s firm, Cong warns of legal action",0
Detective under the microscope,0
"Delhi, Mumbai to be among world’s 10 biggest cities by 2030: UN report",0
"PNB fraud case: PM Modi has destroyed India’s financial system, says Rahul Gandhi",0
"Irked with Budget, Andhra CM Chandrababu Naidu demands justice from PM Modi",0
India-Iran Joint Statement: Full text,0
Bofors case: Trial court to hear CBI’s plea for further probe on April 7,0
UN agencies can help in empowerment of women in Odisha: CM Naveen Patnaik,0
"PNB fraud case: Nirav Modi’s executive, bank officials sent to CBI custody; six other staff under watch",0
"India, Iran agree to eliminate ‘forces that support terror’",0
Devendra Fadnavis reviews preparations of ‘Magnetic Maharashtra’ meet,0
"Indian banks may take over Rs 17,000 Crore hit from PNB fraud- Tax dept",0
"Nirav Modi case: CBI arrests two PNB officials, searches Brady Road branch",0
"Congress attack on govt over PNB scam will boomerang, says Prakash Javadekar",0
"PNB fraud case: ED raids enter third day, seizure value rises to Rs 5,674 crore",0
Nirav Modi case: ED raids Gitanjali jewellers showroom in Udhampur of Jammu,0
Taming the bulls: A day in the life of stock brokers in Navi Mumbai,0
ED attaches Chennai firm’s land worth Rs 115 crore in bank fraud case,0
Canadian Prime Minister Justin Trudeau begins weeklong India visit,0
"Narendra Modi’s broom cleaning up UPA’s mess, says Jayant Sinha",0
Arun Jaitley to leave for two-day Saudi Arabia visit tonight,0
HC closes contempt plea against TNPSC secretary,0
Army jawan kills self in Nashik,0
VP Venkaiah Naidu appeals people of Kerala to isolate forces of violence,0
Former union minister E Ponnusamy joins BJP,0
"Let us walk the path together, Kovind tells Iranian President",0
"Need to balance judiciary, executive: Lok Sabha Speaker",0
"BJP leader sacked over derogatory comments on Shivaji: Shripad Chindam to be shifted out of Ahmednagar jail, protests rage on",0
SC notice to Haryana on quota plea,0
Gurdaspur acid attack: From strained friendships to fear — the girls fight on,0
"Impact of hailstorm in Maharashtra: Crops worth Rs 200 crore damaged, orange prices may rise",0
"The law, penalty, and aid for acid attack cases",0
PM Modi’s event: Shiv Sena to show black flags for being ‘ignored’,0
"PM Narendra Modi put people’s money in banks, friends stealing it: Rahul Gandhi",0
"Leopard in Lucknow village: Trapped for two days, dead on third; Cop says shot cat in self-defence",0
